Player,Country,Position,Team,Age,Matches_Played,Minutes,Goals,Assists,Shots_on_Target,Yellow_Cards,Red_Cards
José Abella,mx MEX,DF,FC Juárez,30.0,17.0,1014.0,0.0,1.0,0.0,3.0,0.0
Carlos Acevedo,mx MEX,PO,Santos,28.0,16.0,1440.0,0.0,0.0,0.0,1.0,0.0
Daniel Aceves,mx MEX,DF,Pachuca,23.0,4.0,228.0,0.0,0.0,0.0,1.0,0.0
Sergio Aguayo,us USA,DL,Pachuca,22.0,6.0,162.0,1.0,0.0,0.0,1.0,0.0
Eduardo Águila,mx MEX,DF,Atlético,22.0,15.0,1261.0,0.0,0.0,0.0,1.0,0.0
Eduardo Aguirre,mx MEX,DL,Atlas,26.0,17.0,1234.0,2.5,0.0,0.0,2.0,0.0
Érick Aguirre,mx MEX,DF,Monterrey,27.0,7.0,493.0,0.0,1.0,0.0,0.0,0.0
Gaddi Aguirre,mx MEX,DF,Atlas,28.0,11.0,316.0,0.0,0.0,0.0,4.0,0.0
Rodrigo Aguirre,uy URU,"DL,CC",América,30.0,11.0,592.0,2.5,1.0,0.0,5.0,0.0
Jorge Agustín Rodríguez,ar ARG,"CC,DF",Monterrey,29.0,12.0,1035.0,0.0,0.0,0.0,3.0,0.0
Arnaud Ake,ci CIV,DL,Querétaro,26.0,5.0,234.0,0.0,0.0,0.0,0.0,0.0
Jesús Alberto Angulo,mx MEX,DF,UANL,26.0,16.0,1225.0,0.0,2.5,0.0,5.0,0.0
Gil Alcalá,mx MEX,PO,UNAM,32.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0
Jesús Alcantar,mx MEX,DF,Necaxa,21.0,6.0,392.0,0.0,0.0,0.0,1.0,0.0
Jordy Alcivar,ec ECU,"CC,DL",León,25.0,10.0,395.0,0.0,0.0,0.0,0.0,0.0
AlessandroTagle,mx MEX,DF,Monterrey,19.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0
Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,33.0,13.0,755.0,0.0,0.0,0.0,1.0,0.0
Guillermo Allison,mx MEX,PO,Querétaro,34.0,17.0,1530.0,0.0,0.0,0.0,2.0,0.0
Facundo Almada,ar ARG,DF,Mazatlán,26.0,9.0,564.0,0.0,0.0,0.0,1.0,0.0
Carlos Alonso Vargas,mx MEX,"DL,CC",Cruz Azul,25.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0
Alfonso Alvarado,mx MEX,"DL,CC",León,24.0,16.0,758.0,2.5,2.0,0.0,1.0,0.0
Roberto Alvarado,mx MEX,"CC,DL",Guadalajara,26.0,13.0,1031.0,2.5,2.5,0.0,2.0,0.0
Ventura Alvarado,us USA,DF,Mazatlán,32.0,5.0,392.0,0.0,0.0,0.0,0.0,0.0
Antonio Álvarez,mx MEX,"CC,DF",América,20.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
Daniel Álvarez,mx MEX,"CC,DL",Puebla,30.0,13.0,527.0,0.0,0.0,0.0,1.0,0.0
Efrain Alvarez,mx MEX,"DL,CC",Tijuana,22.0,16.0,1220.0,2.5,2.5,0.0,0.0,0.0
Gael Álvarez,mx MEX,DL,Pachuca,18.0,5.0,227.0,0.0,0.0,0.0,0.0,0.0
Jaime Alvarez,mx MEX,"DL,CC",Tijuana,21.0,11.0,339.0,1.0,0.0,0.0,0.0,0.0
Kevin Álvarez,mx MEX,DF,América,25.0,9.0,598.0,0.0,0.0,0.0,1.0,0.0
Luis Amarilla,py PAR,DL,Mazatlán,29.0,7.0,477.0,0.0,0.0,0.0,0.0,0.0
Frankie Amaya,us USA,CC,Toluca,24.0,12.0,335.0,0.0,2.0,0.0,1.0,0.0
Fidel Ambríz,mx MEX,CC,Monterrey,21.0,11.0,684.0,0.0,0.0,0.0,2.0,0.0
Fidel Ambríz,mx MEX,CC,León,21.0,5.0,421.0,0.0,0.0,0.0,0.0,0.0
Bruno Amione,ar ARG,DF,Santos,22.0,10.0,855.0,0.0,0.0,0.0,2.0,0.0
Esteban Andrada,ar ARG,PO,Monterrey,33.0,16.0,1440.0,0.0,0.0,0.0,5.0,0.0
Alejandro Andrade,mx MEX,CC,Necaxa,23.0,4.0,186.0,0.0,0.0,0.0,0.0,0.0
Luis Ángel Malagón,mx MEX,PO,América,27.0,16.0,1440.0,0.0,0.0,0.0,1.0,0.0
Brayan Angulo,co COL,DF,Puebla,35.0,17.0,1432.0,0.0,2.0,0.0,1.0,0.0
Jesús Angulo,mx MEX,"CC,DL",Toluca,27.0,15.0,839.0,2.5,2.5,0.0,0.0,0.0
José Antonio Rodríguez,mx MEX,PO,Tijuana,32.0,10.0,890.0,0.0,0.0,0.0,0.0,0.0
Uriel Antuna,mx MEX,"DL,CC",Cruz Azul,27.0,5.0,231.0,0.0,0.0,0.0,0.0,0.0
Uriel Antuna,mx MEX,DL,UANL,27.0,10.0,405.0,0.0,1.0,0.0,1.0,0.0
Javier Aquino,mx MEX,DF,UANL,34.0,16.0,1366.0,0.0,0.0,0.0,4.0,0.0
Pedro Aquino,pe PER,CC,Santos,29.0,7.0,396.0,0.0,0.0,0.0,4.0,0.0
Diego Araujo,mx MEX,CC,Querétaro,21.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0
Maximiliano Araújo,uy URU,DL,Toluca,24.0,2.0,103.0,1.0,0.0,0.0,1.0,0.0
Néstor Araujo,mx MEX,DF,América,33.0,13.0,1029.0,0.0,2.0,0.0,1.0,0.0
Fernando Arce Jr.,us USA,CC,Necaxa,28.0,15.0,1036.0,2.0,0.0,0.0,5.0,0.0
Ramiro Árciga,mx MEX,"CC,DL",Mazatlán,20.0,17.0,953.0,0.0,0.0,0.0,2.0,0.0
Gerardo Arteaga,mx MEX,DF,Monterrey,26.0,13.0,1064.0,0.0,0.0,0.0,2.0,0.0
Víctor Arteaga,mx MEX,CC,Toluca,20.0,15.0,513.0,0.0,1.0,0.0,3.0,0.0
Ali Ávila,mx MEX,DL,UNAM,21.0,7.0,122.0,0.0,0.0,0.0,0.0,0.0
Ettson Ayon,mx MEX,DL,León,23.0,7.0,200.0,0.0,0.0,0.0,0.0,0.0
Tomás Badaloni,ar ARG,DL,Necaxa,24.0,13.0,461.0,2.0,0.0,0.0,0.0,0.0
Claudio Baeza,cl CHI,"CC,DF",Toluca,30.0,16.0,1016.0,0.0,1.0,0.0,4.0,0.0
Kevin Balanta,co COL,DF,Tijuana,27.0,9.0,591.0,0.0,0.0,0.0,1.0,0.0
Fidel Barajas,mx MEX,"CC,DL",Guadalajara,18.0,5.0,87.0,0.0,0.0,0.0,0.0,0.0
Víctor Barajas,mx MEX,DF,León,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Diego Barbosa,mx MEX,DF,Tijuana,28.0,6.0,239.0,0.0,0.0,0.0,0.0,0.0
Jaine Barreiro,co COL,DF,León,30.0,17.0,1507.0,1.0,0.0,0.0,3.0,0.0
Pablo Barrera,mx MEX,"CC,DL",Querétaro,37.0,17.0,1287.0,1.0,0.0,0.0,1.0,0.0
Sergio Barreto,ar ARG,DF,Pachuca,25.0,15.0,1307.0,0.0,1.0,0.0,5.0,0.0
Abraham Bass,mx MEX,CC,Atlas,23.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Borja Bastón,es ESP,DL,Pachuca,32.0,7.0,352.0,0.0,0.0,0.0,0.0,0.0
