Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
José Abella                  ,mx MEX  ,DF      ,FC Juárez   ,30-289  ,1994       ,17 ,     11 ,1014.0 ,11.3 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
Carlos Acevedo               ,mx MEX  ,PO      ,Santos      ,28-220  ,1996       ,16 ,     16 ,1440.0 ,16.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Daniel Aceves                ,mx MEX  ,DF      ,Pachuca     ,23-242  ,2001       , 4 ,      2 , 228.0 , 2.5 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Sergio Aguayo                ,us USA  ,DL      ,Pachuca     ,22-001  ,2002       , 6 ,      0 , 162.0 , 1.8 , 1.0 ,0.56 ,0.0 , 0 , 1 , 0
Eduardo Águila               ,mx MEX  ,DF      ,Atlético    ,22-192  ,2002       ,15 ,     14 ,1261.0 ,14.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Eduardo Aguirre              ,mx MEX  ,DL      ,Atlas       ,26-114  ,1998       ,17 ,     15 ,1234.0 ,13.7 , 4.0 ,0.29 ,0.0 , 0 , 2 , 0
Érick Aguirre                ,mx MEX  ,DF      ,Monterrey   ,27-276  ,1997       , 7 ,      7 , 493.0 , 5.5 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Gaddi Aguirre                ,mx MEX  ,DF      ,Atlas       ,28-239  ,1996       ,11 ,      3 , 316.0 , 3.5 , 0.0 ,0.00 ,0.0 , 0 , 4 , 1
Rodrigo Aguirre              ,uy URU  ,"DL,CC" ,América     ,30-055  ,1994       ,11 ,      6 , 592.0 , 6.6 , 5.0 ,0.76 ,1.0 , 0 , 6 , 0
Jorge Agustín Rodríguez      ,ar ARG  ,"CC,DF" ,Monterrey   ,29-071  ,1995       ,12 ,     12 ,1035.0 ,11.5 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Arnaud Ake                   ,ci CIV  ,DL      ,Querétaro   ,26-238  ,1998       , 5 ,      3 , 234.0 , 2.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Alberto Angulo         ,mx MEX  ,DF      ,UANL        ,26-300  ,1998       ,16 ,     14 ,1225.0 ,13.6 , 0.0 ,0.00 ,3.0 , 0 , 5 , 0
Gil Alcalá                   ,mx MEX  ,PO      ,UNAM        ,32-119  ,1992       , 4 ,      4 , 360.0 , 4.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Alcantar               ,mx MEX  ,DF      ,Necaxa      ,21-118  ,2003       , 6 ,      4 , 392.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jordy Alcivar                ,ec ECU  ,"CC,DL" ,León        ,25-112  ,1999       ,10 ,      5 , 395.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
AlessandroTagle              ,mx MEX  ,DF      ,Monterrey   ,19-149  ,2005       , 1 ,      1 ,  61.0 , 0.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Luis Alfonso Rodríguez       ,mx MEX  ,DF      ,Pachuca     ,33-309  ,1991       ,13 ,      8 , 755.0 , 8.4 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Guillermo Allison            ,mx MEX  ,PO      ,Querétaro   ,34-061  ,1990       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Facundo Almada               ,ar ARG  ,DF      ,Mazatlán    ,26-138  ,1998       , 9 ,      6 , 564.0 , 6.3 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Carlos Alonso Vargas         ,mx MEX  ,"DL,CC" ,Cruz Azul   ,25-285  ,1999       , 3 ,      0 ,  17.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Alfonso Alvarado             ,mx MEX  ,"DL,CC" ,León        ,24-257  ,2000       ,16 ,      8 , 758.0 , 8.4 , 3.0 ,0.36 ,2.0 , 0 , 1 , 0
Roberto Alvarado             ,mx MEX  ,"CC,DL" ,Guadalajara ,26-079  ,1998       ,13 ,     13 ,1031.0 ,11.5 , 5.0 ,0.44 ,4.0 , 2 , 2 , 0
