Player                       ,Country ,Position ,Team        ,Age  ,Matches_Played ,Minutes ,Goals                 ,Assists               ,Shots_on_Target ,Yellow_Cards          ,Red_Cards
José Abella                  ,mx MEX  ,DF       ,FC Juárez   ,30.0 ,          17.0 , 1014.0 ,0.0                   ,0.0009861932938856016 ,            0.0 ,0.0029585798816568047 ,      0.0
Carlos Acevedo               ,mx MEX  ,PO       ,Santos      ,28.0 ,          16.0 , 1440.0 ,0.0                   ,0.0                   ,            0.0 ,0.0006944444444444445 ,      0.0
Daniel Aceves                ,mx MEX  ,DF       ,Pachuca     ,23.0 ,           4.0 ,  228.0 ,0.0                   ,0.0                   ,            0.0 ,0.0043859649122807015 ,      0.0
Sergio Aguayo                ,us USA  ,DL       ,Pachuca     ,22.0 ,           6.0 ,  162.0 ,0.006172839506172839  ,0.0                   ,            0.0 ,0.006172839506172839  ,      0.0
Eduardo Águila               ,mx MEX  ,DF       ,Atlético    ,22.0 ,          15.0 , 1261.0 ,0.0                   ,0.0                   ,            0.0 ,0.0007930214115781126 ,      0.0
Eduardo Aguirre              ,mx MEX  ,DL       ,Atlas       ,26.0 ,          17.0 , 1234.0 ,0.002025931928687196  ,0.0                   ,            0.0 ,0.0016207455429497568 ,      0.0
Érick Aguirre                ,mx MEX  ,DF       ,Monterrey   ,27.0 ,           7.0 ,  493.0 ,0.0                   ,0.002028397565922921  ,            0.0 ,0.0                   ,      0.0
Gaddi Aguirre                ,mx MEX  ,DF       ,Atlas       ,28.0 ,          11.0 ,  316.0 ,0.0                   ,0.0                   ,            0.0 ,0.012658227848101266  ,      0.0
Rodrigo Aguirre              ,uy URU  ,"DL,CC"  ,América     ,30.0 ,          11.0 ,  592.0 ,0.004222972972972973  ,0.0016891891891891893 ,            0.0 ,0.008445945945945946  ,      0.0
Jorge Agustín Rodríguez      ,ar ARG  ,"CC,DF"  ,Monterrey   ,29.0 ,          12.0 , 1035.0 ,0.0                   ,0.0                   ,            0.0 ,0.002898550724637681  ,      0.0
Arnaud Ake                   ,ci CIV  ,DL       ,Querétaro   ,26.0 ,           5.0 ,  234.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jesús Alberto Angulo         ,mx MEX  ,DF       ,UANL        ,26.0 ,          16.0 , 1225.0 ,0.0                   ,0.0020408163265306124 ,            0.0 ,0.004081632653061225  ,      0.0
Gil Alcalá                   ,mx MEX  ,PO       ,UNAM        ,32.0 ,           4.0 ,  360.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jesús Alcantar               ,mx MEX  ,DF       ,Necaxa      ,21.0 ,           6.0 ,  392.0 ,0.0                   ,0.0                   ,            0.0 ,0.002551020408163265  ,      0.0
Jordy Alcivar                ,ec ECU  ,"CC,DL"  ,León        ,25.0 ,          10.0 ,  395.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
AlessandroTagle              ,mx MEX  ,DF       ,Monterrey   ,19.0 ,           1.0 ,   61.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Luis Alfonso Rodríguez       ,mx MEX  ,DF       ,Pachuca     ,33.0 ,          13.0 ,  755.0 ,0.0                   ,0.0                   ,            0.0 ,0.0013245033112582781 ,      0.0
Guillermo Allison            ,mx MEX  ,PO       ,Querétaro   ,34.0 ,          17.0 , 1530.0 ,0.0                   ,0.0                   ,            0.0 ,0.00130718954248366   ,      0.0
Facundo Almada               ,ar ARG  ,DF       ,Mazatlán    ,26.0 ,           9.0 ,  564.0 ,0.0                   ,0.0                   ,            0.0 ,0.0017730496453900709 ,      0.0
Carlos Alonso Vargas         ,mx MEX  ,"DL,CC"  ,Cruz Azul   ,25.0 ,           3.0 ,   17.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
