Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,José Abella,mx MEX,DF,FC Juárez,30-292,1994,17,11,1014,11.3,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,5,34,10,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05,Partidos
2,Carlos Acevedo,mx MEX,PO,Santos,28-223,1996,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
3,Daniel Aceves,mx MEX,DF,Pachuca,23-245,2001,4,2,228,2.5,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,12,6,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Partidos
4,Sergio Aguayo,us USA,DL,Pachuca,22-004,2002,6,0,162,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,2,3,10,0.56,0.00,0.56,0.56,0.56,0.36,0.25,0.61,0.36,0.61,Partidos
5,Eduardo Águila,mx MEX,DF,Atlético,22-195,2002,15,14,1261,14.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,29,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
6,Eduardo Aguirre,mx MEX,DL,Atlas,26-117,1998,17,15,1234,13.7,4,0,4,4,0,0,2,0,3.6,3.6,0.4,4.0,11,9,48,0.29,0.00,0.29,0.29,0.29,0.27,0.03,0.29,0.27,0.29,Partidos
7,Érick Aguirre,mx MEX,DF,Monterrey,27-279,1997,7,7,493,5.5,0,1,1,0,0,0,0,0,0.0,0.0,0.9,0.9,13,16,32,0.00,0.18,0.18,0.00,0.18,0.00,0.16,0.17,0.00,0.17,Partidos
8,Gaddi Aguirre,mx MEX,DF,Atlas,28-242,1996,11,3,316,3.5,0,0,0,0,0,0,4,1,0.2,0.2,0.0,0.2,2,8,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
9,Rodrigo Aguirre,uy URU,"DL,CC",América,30-058,1994,11,6,592,6.6,5,1,6,5,0,0,6,0,2.2,2.2,0.5,2.7,9,10,30,0.76,0.15,0.91,0.76,0.91,0.33,0.08,0.41,0.33,0.41,Partidos
10,Jorge Agustín Rodríguez,ar ARG,"CC,DF",Monterrey,29-074,1995,12,12,1035,11.5,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,3,69,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
11,Arnaud Ake,ci CIV,DL,Querétaro,26-241,1998,5,3,234,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,3,21,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Partidos
12,Jesús Alberto Angulo,mx MEX,DF,UANL,26-303,1998,16,14,1225,13.6,0,3,3,0,0,0,5,0,0.1,0.1,0.8,1.0,15,80,22,0.00,0.22,0.22,0.00,0.22,0.01,0.06,0.07,0.01,0.07,Partidos
13,Gil Alcalá,mx MEX,PO,UNAM,32-122,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
14,Jesús Alcantar,mx MEX,DF,Necaxa,21-121,2003,6,4,392,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
15,Jordy Alcivar,ec ECU,"CC,DL",León,25-115,1999,10,5,395,4.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,5,17,7,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.16,0.12,0.16,Partidos
16,AlessandroTagle,mx MEX,DF,Monterrey,19-152,2005,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,Partidos
17,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,33-312,1991,13,8,755,8.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,16,59,22,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
18,Guillermo Allison,mx MEX,PO,Querétaro,34-064,1990,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
19,Facundo Almada,ar ARG,DF,Mazatlán,26-141,1998,9,6,564,6.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,15,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
20,Carlos Alonso Vargas,mx MEX,"DL,CC",Cruz Azul,25-288,1999,3,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
21,Alfonso Alvarado,mx MEX,"DL,CC",León,24-260,2000,16,8,758,8.4,3,2,5,3,0,0,1,0,1.9,1.9,1.1,3.0,9,12,33,0.36,0.24,0.59,0.36,0.59,0.23,0.13,0.36,0.23,0.36,Partidos
22,Roberto Alvarado,mx MEX,"CC,DL",Guadalajara,26-082,1998,13,13,1031,11.5,5,4,9,3,2,2,2,0,2.8,1.3,2.7,4.0,34,52,80,0.44,0.35,0.79,0.26,0.61,0.25,0.24,0.48,0.11,0.35,Partidos
23,Ventura Alvarado,us USA,DF,Mazatlán,32-104,1992,5,5,392,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
24,Antonio Álvarez,mx MEX,"CC,DF",América,20-338,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
25,Daniel Álvarez,mx MEX,"CC,DL",Puebla,30-129,1994,13,6,527,5.9,0,0,0,0,0,0,1,0,0.9,0.9,0.6,1.5,19,16,40,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.25,0.15,0.25,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,Efrain Alvarez,mx MEX,"DL,CC",Tijuana,22-162,2002,16,14,1220,13.6,3,3,6,3,0,0,0,0,1.6,1.6,3.9,5.6,44,73,139,0.22,0.22,0.44,0.22,0.44,0.12,0.29,0.41,0.12,0.41,Partidos
27,Gael Álvarez,mx MEX,DL,Pachuca,18-264,2006,5,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,12,7,22,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Partidos
